incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio,IsRatioCalculated
2,2,0,,0
6,6,0,,0
12,2,0,,0
13,1,0,,0
15,2,0,,0
16,6,0,,0
18,6,0,,0
20,4,0,,0
28,4,0,,0
30,6,6,1,1
32,2,0,,0
34,12,0,,0
36,4,0,,0
42,4,0,,0
53,2,0,,0
56,10,0,,0
61,1,2,0.5,1
62,2,2,1,1
63,2,0,,0
73,4,0,,0
77,2,0,,0
78,8,0,,0
79,2,2,1,1
81,1,0,,0
83,2,0,,0
95,4,0,,0
97,2,0,,0
98,2,0,,0
100,8,0,,0
106,2,0,,0
116,4,0,,0
123,2,0,,0
128,2,0,,0
146,2,0,,0
150,2,0,,0
151,4,0,,0
158,2,0,,0
160,2,0,,0
161,2,0,,0
176,2,0,,0
177,2,0,,0
178,2,0,,0
184,2,0,,0
192,2,0,,0
194,4,0,,0
200,6,3,2,1
202,4,0,,0
205,2,0,,0
207,2,0,,0
209,2,0,,0
217,2,0,,0
220,2,0,,0
227,4,0,,0
229,2,0,,0
240,2,0,,0
242,4,0,,0
260,2,0,,0
266,1,0,,0
271,2,0,,0
302,1,0,,0
312,2,2,1,1
314,1,0,,0
316,3,0,,0
322,1,0,,0
327,2,0,,0
479,3,0,,0
487,2,0,,0
489,3,0,,0
519,2,0,,0
631,1,0,,0
674,2,0,,0
710,2,0,,0
818,2,0,,0
841,1,0,,0
955,2,0,,0
959,2,0,,0
1030,6,0,,0
1032,4,2,2,1
1121,2,0,,0
1124,4,0,,0
1136,2,0,,0
1165,3,0,,0
1190,1,0,,0
1199,2,0,,0
1237,1,0,,0
1491,2,0,,0
1493,2,0,,0
1498,1,0,,0
1504,4,0,,0
1510,7,0,,0
1511,1,0,,0
1512,3,1,3,1
1517,3,1,3,1
1520,4,0,,0
1640,1,0,,0
1644,2,0,,0
1645,2,0,,0
1691,4,0,,0
1693,4,0,,0
1792,2,0,,0
1803,12,4,3,1
1810,4,0,,0
1928,2,0,,0
1929,2,0,,0
1986,1,1,1,1
1996,2,0,,0
1998,2,0,,0
1999,2,6,0.29999999999999999,1
2168,3,0,,0
2183,3,0,,0
2205,4,0,,0
2218,9,1,9,1
2219,2,8,0.20000000000000001,1
2235,1,0,,0
2254,8,1,8,1
2287,4,0,,0
2321,2,0,,0
2324,6,2,3,1
2392,1,0,,0
2437,1,0,,0
2493,3,6,0.5,1
2620,6,0,,0
2622,4,0,,0
2634,2,0,,0
2820,16,0,,0
2861,2,0,,0
2866,1,0,,0
2868,1,0,,0
2871,2,2,1,1
2919,1,0,,0
2929,1,0,,0
2945,1,1,1,1
2948,6,0,,0
3094,10,2,5,1
3105,1,0,,0
3115,6,0,,0
3121,1,1,1,1
3122,1,0,,0
