incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio
2,2,0,
6,6,0,
12,2,0,
13,1,0,
15,2,0,
16,6,0,
18,6,0,
20,4,0,
28,4,0,
32,2,0,
34,12,0,
36,4,0,
42,4,0,
53,2,0,
56,10,0,
63,2,0,
73,4,0,
77,2,0,
78,8,0,
81,1,0,
83,2,0,
95,4,0,
97,2,0,
98,2,0,
100,8,0,
106,2,0,
116,4,0,
123,2,0,
128,2,0,
146,2,0,
150,2,0,
151,4,0,
158,2,0,
160,2,0,
161,2,0,
176,2,0,
177,2,0,
178,2,0,
184,2,0,
192,2,0,
194,4,0,
202,4,0,
205,2,0,
207,2,0,
209,2,0,
217,2,0,
220,2,0,
227,4,0,
229,2,0,
240,2,0,
242,4,0,
260,2,0,
266,1,0,
271,2,0,
302,1,0,
314,1,0,
316,3,0,
322,1,0,
327,2,0,
479,3,0,
487,2,0,
489,3,0,
519,2,0,
631,1,0,
674,2,0,
710,2,0,
818,2,0,
841,1,0,
955,2,0,
959,2,0,
1030,6,0,
1121,2,0,
1124,4,0,
1136,2,0,
1165,3,0,
1190,1,0,
1199,2,0,
1237,1,0,
1491,2,0,
1493,2,0,
1498,1,0,
1504,4,0,
1510,7,0,
1511,1,0,
1520,4,0,
1640,1,0,
1644,2,0,
1645,2,0,
1691,4,0,
1693,4,0,
1792,2,0,
1810,4,0,
1928,2,0,
1929,2,0,
1996,2,0,
1998,2,0,
2168,3,0,
2183,3,0,
2205,4,0,
2235,1,0,
2287,4,0,
2321,2,0,
2392,1,0,
2437,1,0,
2620,6,0,
2622,4,0,
2634,2,0,
2820,16,0,
2861,2,0,
2866,1,0,
2868,1,0,
2919,1,0,
2929,1,0,
2948,6,0,
3105,1,0,
3115,6,0,
3122,1,0,
3290,4,0,
3300,2,0,
3310,6,0,
3392,1,0,
3404,2,0,
3412,3,0,
3543,3,0,
3545,2,0,
3546,2,0,
3550,1,0,
3682,2,0,
3703,1,0,
3926,2,0,
3958,6,0,
4078,4,0,
4092,1,0,
4093,1,0,
4094,1,0,
4101,6,0,
4104,6,0,
4106,5,0,
4109,4,0,
4111,3,0,
4266,3,0,
4272,1,0,
4276,2,0,
4280,1,0,
4283,2,0,
4302,2,0,
4396,1,0,
4398,6,0,
4399,2,0,
4401,10,0,
4441,1,0,
4583,6,0,
4585,2,0,
4762,1,0,
4809,2,0,
4814,1,0,
4821,4,0,
4855,1,0,
4864,1,0,
4980,10,0,
4983,2,0,
5185,1,0,
5218,4,0,
5220,4,0,
5223,1,0,
5227,1,0,
5341,2,0,
5343,2,0,
5347,3,0,
5351,6,0,
5352,2,0,
5500,4,0,
5503,5,0,
5589,1,0,
5592,1,0,
5715,1,0,
5725,1,0,
5769,2,0,
5785,2,0,
5786,1,0,
5792,1,0,
5825,1,0,
6080,2,0,
6087,4,0,
6090,4,0,
6098,6,0,
6271,4,0,
6434,2,0,
6457,1,0,
6474,2,0,
6476,4,0,
6477,2,0,
6486,2,0,
6578,4,0,
6595,1,0,
6596,2,0,
6788,4,0,
6816,6,0,
6822,8,0,
6824,2,0,
6834,2,0,
6835,1,0,
6836,1,0,
6913,1,0,
6945,1,0,
6971,1,0,
7053,1,0,
7083,4,0,
7087,18,0,
7090,1,0,
7124,1,0,
7125,2,0,
7130,6,0,
7139,1,0,
7169,1,0,
7206,1,0,
7218,1,0,
7339,2,0,
7350,8,0,
7352,2,0,
7603,1,0,
7604,5,0,
7661,1,0,
7670,1,0,
7814,4,0,
7829,3,0,
7836,2,0,
7837,3,0,
7843,2,0,
7845,4,0,
7920,1,0,
7921,2,0,
7927,1,0,
7932,2,0,
7944,1,0,
7945,1,0,
8064,2,0,
8089,2,0,
8091,2,0,
8203,3,0,
8205,4,0,
8247,2,0,
8249,13,0,
8255,12,0,
8256,1,0,
8350,12,0,
8472,2,0,
8476,1,0,
8561,2,0,
8585,1,0,
8611,1,0,
8675,6,0,
8680,2,0,
8688,6,0,
8696,6,0,
8892,1,0,
8897,4,0,
8902,1,0,
8906,10,0,
8932,2,0,
8941,1,0,
8942,6,0,
8944,2,0,
8945,1,0,
8946,4,0,
9011,3,0,
9012,1,0,
9034,3,0,
9131,2,0,
9142,2,0,
9167,1,0,
9194,2,0,
9199,1,0,
